song_id,folder,midi_path,key,mode,duration,tempo,ts_num,ts_den,num_bars,track_names,n_instruments
POP909_026,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/026,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/026/026.mid,G,major,195.4859375,80.0,4,4,65,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_042,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/042,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/042/042.mid,Bb,minor,212.19867964999997,72.99998296667064,4,4,65,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_064,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/064,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/064/064.mid,C,minor,197.49603892083334,60.0,4,4,49,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_069,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/069,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/069/069.mid,Ab,minor,229.35485400000002,123.99999173333387,4,4,118,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_108,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/108,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/108/108.mid,A,major,210.42881635416668,102.0000510000255,4,4,89,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_144,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/144,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/144/144.mid,F,minor,239.55401245000004,69.00009660013524,4,4,69,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_161,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/161,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/161/161.mid,Bb,minor,169.02622094583333,61.999995866666936,4,4,44,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_169,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/169,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/169/169.mid,B,minor,140.838164875,85.00004250002125,4,4,50,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_174,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/174,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/174/174.mid,A,major,217.72094121249998,72.99998296667064,4,4,66,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_177,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/177,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/177/177.mid,G,major,225.13553723541668,68.0000725334107,4,4,64,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_179,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/179,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/179/179.mid,Gb,major,179.13610065208334,123.99999173333387,4,4,93,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_183,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/183,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/183/183.mid,A,major,231.57030675,71.00003550001774,4,4,69,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_187,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/187,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/187/187.mid,Gb,minor,237.990625,120.0,4,4,119,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_188,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/188,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/188/188.mid,Bb,major,238.44748882500002,110.00011000011,4,4,109,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_193,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/193,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/193/193.mid,Gb,major,236.6454547,72.00011520018433,4,4,71,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_194,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/194,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/194/194.mid,E,major,231.061285225,120.0,4,4,116,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_195,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/195,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/195/195.mid,G,minor,236.16709433541672,97.9999836666694,4,4,96,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_198,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/198,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/198/198.mid,D,minor,227.1472441875,129.00035475097556,4,4,122,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_199,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/199,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/199/199.mid,Ab,major,156.24341990416667,58.000042533364514,4,4,38,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_200,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/200,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/200/200.mid,Ab,minor,219.39895833333333,120.0,4,4,110,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_201,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/201,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/201/201.mid,B,minor,229.20073955625,89.00004005001801,4,4,85,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_205,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/205,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/205/205.mid,Gb,major,206.77508894583332,121.00043156820594,4,4,104,"['MELODY', 'BRIDGE', 'PIANO']",3
POP909_210,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/210,/Users/gyeongchan/Desktop/project_final_imp/data/POP909-Dataset/POP909/210/210.mid,F,major,232.27579961249992,116.00008506672903,4,4,112,"['MELODY', 'BRIDGE', 'PIANO']",3
